filed_id:ID,name,description ,class,rfc,:LABEL
1000023,B,The Broadcast Indicators are used to indicate the routing desired for a particular frame . A frame may be routed through a single specified route   through every distinct non-repeating route in a multi-ring network   or through a single route determined by a spanning tree algorithm such that the frame appears on every ring exactly once . The values which may be used at this time are ( in binary ): ,110,1042,field
1000024,LTH,The Length bits are used to indicate the length or the RI field   including the RC and RD fields . Only even values between 2 and 30 inclusive are allowed . ,100,1042,field
1000025,D,The D bit specifies the order of the RD fields . If D equals 1   the routing-designator fields are specified in reverse order . ,210,1042,field
1000026,LF,The LF bits specify the maximum MTU supported by all bridges along a specific route . All multi-ring broadcast frames should be transmitted with a value at least as large as the supported MTU . The values used are : ,200,1042,field
1000027,LF,000 552 508 001 1064 1020 010 2088 2044 011 4136 4092 100 8232 8188 ,240,1042,field
1000028,r,These bits are reserved for future use and must be set to 0 by the transmitter and ignored by the receiver . ,500,1042,field
1000029,MsgDelivery,CoresidentEntity   MsgDelivery and SegmentSize fields are in use . The RequestCode field specifies the type of Request . It is analogous to a packet type field of the Ethernet   acting as a switch for higher-level protocols . The CoresidentEntity field   if used   designates a subgroup of the ServerEntityId group to which the Request should be routed   namely those members that are co-resident with the specified entity ( or entity group ). The primary intended use is to specify the manager for a particular service that is co-resident with a particular entity   using the well-known entity group identifier for the service manager in the ServerEntityId field and the identifier for the entity in the CoresidentEntity field . The next 12 octets are user - or application-specified . ,231,1045,field
1000030,Domain,Domain The 13-bit identifier specifying the naming and administration domain for the client and server named in the packet . ,230,1045,field
1000031,Length,Length A 13-bit field that specifies the number of 32-bit words in the segment data portion of the packet ( if any )  excluding the checksum field . ( Every VMTP packet is required to be a multiple of 64 bits   possibly by padding out the segment data .) The minimum legal Length is 0   the maximum length is 4096 and it must be an even number . ,100,1045,field
1000032,RetransmitCount,RetransmitCount : 3 bits - the ordinal number of transmissions of this packet group prior to this one   modulo 8 . This field is used in estimation of roundtrip times . This count may wrap around during a message transaction . However   it should be sufficient to match acknowledgments and responses with a particular transmission . ,122,1045,field
1000033,PGcount,PGcount : 8 bits The number of packet groups that this packet group represents in addition to that specified by the Transaction field . This is used in acknowledging multiple packet groups in streamed communication . ,231,1045,field
1000034,Transaction,Transaction : 32 bits : Identifier for this message transaction . ,231,1045,field
1000035,PacketDelivery,PacketDelivery : 32 bits : Delivery indicates the segment blocks contained in this packet . Each bit corresponds to one 512-octet block of segment data . A 1 bit in the i-th bit position ( counting the LSB as 0 ) indicates the presence of the i-th segment block . ,210,1045,field
1000036,RES,RES Reserved for future use . Must be 0 . ,500,1045,field
1000037,MsgDelivery,MsgDelivery : 32 bits The segment blocks being transmitted ( in total ) in this packet group following the conventions for the PacketDelivery field . This field is ignored by the protocol and treated as an additional user data field if MDM is 0 . On transmission   the user level sets the MsgDelivery to indicate those portions of the segment to be transmitted . On receipt   the MsgDelivery field is modified by the VMTP module to indicate the segment data blocks that were actually received before the message control block is passed to the user or RPC level . In particular   the kernel does not discard the packet group if segment data blocks are missing . A Server or Client entity receiving a message with a MsgDelivery in use must check the field to ensure adequate delivery and retry the operation if necessary . ,400,1045,field
1000038,SegmentSize,SegmentSize : 32 bits Size of segment in octets   up to a maximum of 16 kilooctets without streaming and 4 megaoctets with streaming   if SDA is set . Otherwise   this field is ignored by the protocol and treated as an additional user data field . ,200,1045,field
1000039,Checksum,Checksum : 32 bits . The 32-bit checksum for the header and segment data . ,301,1045,field
1000040,Transaction,Transaction Identifier for transaction   at least one greater than the previously issued Request from this Client . ,230,1045,field
1000041,RequestCode,RequestCode Request code for this request   indicating the operation to perform . ,202,1045,field
1000042,STI,STI 1 if this Response is using one or more of the transaction identifiers skipped by the Client after the Request to which this is a Response . STI in the Request essentially allocates up to 256 transaction identifiers for the Server to use in a run of Response packet groups . ,210,1045,field
1000043,PGcount,PGcount The number of consecutively previous packet groups that this response is acknowledging in addition to the one identified by the Transaction identifier . ,231,1045,field
1000044,Checksum,Checksum 14   43 Checksum   not set 44 Client 7   10   38 Client timer 16 CMD 42   110 CMG 32   40 Co-resident entity 25 Code 42 CoResidentEntity 42   43 CRE 21   42 ,240,1045,field
1000045,DGM,DGM 42 Digital signature   VMTP management 95   101 Diskless workstations 2 Domain 9   38 Domain 1 102 Domain 3 104 ,240,1045,field
1000046,LEE,LEE 32   37 Little-endian 9 ,240,1045,field
1000047,RAE,RAE 37 Rate control 18 Real-time 2   4 Realtime 22 ,240,1045,field
1000048,SDA,SDA 42 Security 4   19 Segment block 41 Segment data 43 SegmentSize 42   43 Selective retransmission 18 Server 7   10   41 Server group 8 Sockets   VMTP 118 STI 26   40 Streaming 25   55 Strictly stable 8 Subgroups 21 ,240,1045,field
1000049,Version,This memo specifies version 1 of IGMP . Version 0 is specified in RFC-988 and is now obsolete . ,220,1054,field
1000050,Type,There are two types of IGMP message of concern to hosts : ,231,1054,field
1000051,Unused,Unused field   zeroed when sent   ignored when received . ,500,1054,field
1000052,Checksum,The checksum is the 16-bit one's complement of the one's complement sum of the 8-octet IGMP message . For computing the checksum   the checksum field is zeroed . ,301,1054,field
1000053,Group Address,In a Host Membership Query message   the group address field is zeroed when sent   ignored when received . ,230,1054,field
1000054,Stratum,This is an integer indicating the stratum of the logical clock . A value of zero is interpreted as unspecified   one as a primary clock ( synchronized by outside means ) and remaining values as the stratum level ( synchronized by NTP ). For comparison purposes a value of zero is considered greater than any other value . ,121,1059,field
1000055,Precision,This is a signed integer indicating the precision of the logical clock   in seconds to the nearest power of two . For instance   a 60-Hz line-frequency clock would be assigned the value - 6   while a 1000-Hz crystal-derived clock would be assigned the value - 10 . ,121,1059,field
1000056,Synchronizing Distance,This is a fixed-point number indicating the estimated roundtrip delay to the primary clock   in seconds . ,121,1059,field
1000057,Estimated Drift Rate,This is a fixed-point number indicating the estimated drift rate of the local clock   in dimensionless units . ,121,1059,field
1000058,Reference Clock Identifier,This is a code identifying the particular reference clock or server . The interpretation of the value depends on the stratum . For stratum values of zero ( unspecified ) or one ( primary clock )  the value is an ASCII string identifying the reason or clock   respectively . For stratum values greater than one ( synchronized by NTP )  the value is the 32-bit Internet address of the reference server . ,121,1059,field
1000059,Source Port,UDP source port number . In the case of a client request this field is assigned by the client host   while for a server reply it is copied from the Destination Port field of the client request . In the case of symmetric mode   both the Source Port and Destination Port fields are assigned the NTP service-port number 123 . ,400,1059,field
1000060,Destination Port,UDP destination port number . In the case of a client request this field is assigned the NTP service-port number 123   while for a server reply it is copied from the Source Port field of the client request . In the case of symmetric mode   both the Source Port and Destination Port fields are assigned the NTP service-port number 123 . ,400,1059,field
1000061,Length,Length of the request or reply   including UDP header   in octets ,100,1059,field
1000062,Checksum,Standard UDP checksum ,301,1059,field
1000063,LI,Two-bit code warning of impending leap-second to be inserted at the end of the last day of the current month . Bits are coded as follows : ,121,1059,field
1000064,VN,Three-bit code indicating the version number   currently one ( 1 ). ,220,1059,field
1000065,Stratum,Integer identifying stratum level of local clock . Values are defined as follows : ,121,1059,field
1000066,Poll,Signed integer indicating the maximum interval between successive messages   in seconds to the nearest power of two . ,120,1059,field
1000067,Precision,Signed integer indicating the precision of the local clock   in seconds to the nearest power of two . ,121,1059,field
1000068,Synchronizing Distance,Fixed-point number indicating the estimated roundtrip delay to the primary synchronizing source   in seconds with fraction point between bits 15 and 16 . ,121,1059,field
1000069,Estimated Drift Rate,Fixed-point number indicating the estimated drift rate of the local clock   in dimensionless units with fraction point to the left of the most significant bit . ,121,1059,field
1000070,Reference Clock Identifier,Code identifying the particular reference clock . In the case of type 0 ( unspecified ) or type 1 ( primary reference )  this is a left-justified   zero-filled ASCII string   for example : ,121,1059,field
1000071,address type,address type ( 2 octets ) - a binary-encoded value in network order indicating the address type . The value 3 is used for X.25 addressing of this format . ,231,1086,field
1000072,address type,address type ( 2 octets ) - a binary-encoded value in network order . The value 2 is used . ,201,1086,field
1000073,TCP port,TCP port ( 2 octets ) - a binary-encoded value in network order . ,301,1086,field
1000074,IP address,IP address ( 4 octets ) - a binary-encoded value in network order . ,230,1086,field
1000075,Marker,The Marker field is 16 bits of all ones . This field is used to mark the start of a message . If the first two bytes of a message are not all ones then we have a synchronization error and the BGP connection should be closed after sending a notification message with opcode 5 ( connection not synchronized ). No notification data is sent . ,301,1105,field
1000076,Length,The Length field is 16 bits . It is the total length of the message   incluluding header   in bytes . If an illegal length is encountered ( more than 1024 bytes or less than 8 bytes )  a notification message with opcode 6 ( bad message length ) and two data bytes of the bad length should be sent and the BGP connection closed . ,100,1105,field
1000077,Version,The Version field is 8 bits of protocol version number . The current BGP version number is 1 . If a bad version number is found   a notification message with opcode 8 ( bad version number ) should be sent and the BGP connection closed . The bad version number should be included in one byte of notification data . ,220,1105,field
1000078,Type,The Type field is 8 bits of message type code . The following type codes are defined : ,231,1105,field
1000079,My Autonomous System,This field is our 16 bit autonomous system number . If there is a problem with this field   a notification message with opcode 9 ( invalid AS field ) should be sent and the BGP connection closed . No notification data is sent . ,231,1105,field
1000080,Link Type,The Link Type field is a single octet containing one of the ,231,1105,field
1000081,Authentication Data,The Authentication Data field is a variable length field containing authentication data . If the value of Authentication Code field is zero   the Authentication Data field has zero length . If authentication fails   a notification message with opcode 3 ( authentication failure ) and no data is sent and the BGP connection is closed . ,400,1105,field
1000082,Gateway,The Gateway field is the address of a gateway that has routes to the Internet networks listed in the rest of the UPDATE message . This gateway MUST belong to the same AS as the BGP peer who advertises it . If there is a problem with the gateway field   a notification message with subcode 6 ( invalid gateway field ) is sent . ,230,1105,field
1000083,AS count,This field is the count of Direction and AS Number pairs in this UPDATE message . If an incorrect AS count field is detected   subcode 1 ( invalid AS count ) is specified in the notification message . ,231,1105,field
1000084,Direction,The Direction field is an octet containing the direction taken by the routing information when exiting the AS defined by the succeeding AS Number field . The following values are defined . ,301,1105,field
1000085,AS Number,This field is the AS number that transmitted the routing information . If there is a problem with this AS number   a notification message with subcode 3 ( invalid autonomous system ) is sent . ,231,1105,field
1000086,Net Count,The Net Count field is the number of Metric and Network field pairs which follow this field . If there is a problem with this field   a notification with subcode 7 ( invalid net count field ) is sent . ,231,1105,field
1000087,Network,The Network field is four bytes of Internet network number . If there is a problem with the network field   a notification message with subcode 8 ( invalid network field ) is sent . ,400,1105,field
1000088,Metric,The Metric field is 16 bits of an unspecified metric . BGP metrics are comparable ONLY if routes have exactly the same AS path . A metric of all ones indicates the network is unreachable . In all other cases the metric field is MEANINGLESS and MUST BE IGNORED . There are no illegal metric values . ,231,1105,field
1000089,Opcode,The Opcode field describes the type of NOTIFICATION . The following opcodes have been defined . ,231,1105,field
1000090,Data,The Data field contains zero or more bytes of data to be used in diagnosing the reason for the NOTIFICATION . The contents of the Data field depend upon the opcode . See the opcode descriptions above for more details . ,400,1105,field
1000091,Version,This memo specifies version 1 of IGMP . Version 0 is specified in RFC-988 and is now obsolete . ,220,1112,field
1000092,Type,There are two types of IGMP message of concern to hosts : ,231,1112,field
1000093,Unused,Unused field   zeroed when sent   ignored when received . ,500,1112,field
1000094,Checksum,The checksum is the 16-bit one's complement of the one's complement sum of the 8-octet IGMP message . For computing the checksum   the checksum field is zeroed . ,301,1112,field
1000095,Group Address,In a Host Membership Query message   the group address field ,230,1112,field
1000096,Code,The Code field is one octet and identifies the kind of LCP packet . LCP Codes are assigned as follows : ,231,1134,field
1000097,Identifier,The Identifier field is one octet and aids in matching requests and replies . ,301,1134,field
1000098,Length,The Length field is two octets and indicates the length of the LCP packet including the Code   Identifier   Length and Data fields . Octets outside the range of the Length field should be treated as Data Link Layer padding and should be ignored on reception . ,100,1134,field
1000099,Code,1 for Configure-Request . ,240,1134,field
1000100,Identifier,The Identifier field should be changed on each transmission . On reception   the Identifier field should be copied into the Identifier field of the appropriate reply packet . ,231,1134,field
1000101,Code,2 for Configure-Ack . ,240,1134,field
1000102,Identifier,The Identifier field is a copy of the Identifier field of the Configure-Request which caused this Configure-Ack . ,301,1134,field
1000103,Code,3 for Configure-Nak . ,240,1134,field
1000104,Identifier,The Identifier field is a copy of the Identifier field of the Configure-Request which caused this Configure-Nak . ,231,1134,field
1000105,Code,4 for Configure-Reject . ,240,1134,field
1000106,Identifier,The Identifier field is a copy of the Identifier field of the Configure-Request which caused this Configure-Reject . ,301,1134,field
1000107,Code,5 for Terminate-Request; ,240,1134,field
1000108,Identifier,The Identifier field is one octet and aids in matching requests and replies . ,301,1134,field
1000109,Code,7 for Code-Reject . ,240,1134,field
1000110,Identifier,The Identifier field is one octet and is for use by the transmitter . ,301,1134,field
1000111,Code,8 for Protocol-Reject . ,240,1134,field
1000112,Identifier,The Identifier field is one octet and is for use by the ,301,1134,field
1000113,Rejected-Protocol,The Rejected-Protocol field is two octets and contains the Protocol of the Data Link Layer frame which is being rejected . ,400,1134,field
1000114,Code,9 for Echo-Request; ,240,1134,field
1000115,Identifier,The Identifier field is one octet and aids in matching Echo - Requests and Echo-Replies . ,301,1134,field
1000116,Magic-Number,The Magic-Number field is four octets and aids in detecting loopbacked links . Unless modified by a Configuration Option   the Magic-Number MUST always be transmitted as zero and MUST always be ignored on reception . Further use of the Magic-Number is beyond the scope of this discussion . ,500,1134,field
1000117,Code,11 for Discard-Request . ,240,1134,field
1000118,Identifier,The Identifier field is one octet and is for use by the Discard - Request transmitter . ,301,1134,field
1000119,Magic-Number,The Magic-Number field is four octets and aids in detecting loopbacked links . Unless modified by a configuration option   the Magic-Number MUST always be transmitted as zero and MUST always be ignored on reception . Further use of the Magic-Number is beyond the scope of this discussion . ,500,1134,field
1000120,Type,The Type field is one octet and indicates the type of Configuration Option . The most up-to-date values of the Type field are specified in the most recent " Assigned Numbers " RFC [ 11 ]. ,231,1134,field
1000121,Length,The Length field is one octet and indicates the length of this Configuration Option including the Type   Length and Data fields . If a negotiable Configuration Option is received in a Configure - Request but with an invalid Length   a Configure-Nak should be transmitted which includes the desired Configuration Option with an appropriate Length and Data . ,100,1134,field
1000122,Code,The Code field is one octet and identifies the kind of LCP packet . LCP Codes are assigned as follows : ,231,1171,field
1000123,Identifier,The Identifier field is one octet and aids in matching requests and replies . ,301,1171,field
1000124,Length,The Length field is two octets and indicates the length of the LCP packet including the Code   Identifier   Length and Data fields . Octets outside the range of the Length field should be treated as Data Link Layer padding and should be ignored on reception . ,100,1171,field
1000125,Code,1 for Configure-Request . ,240,1171,field
1000126,Identifier,The Identifier field should be changed on each transmission . On reception   the Identifier field should be copied into the Identifier field of the appropriate reply packet . ,231,1171,field
1000127,Code,2 for Configure-Ack . ,240,1171,field
1000128,Identifier,The Identifier field is a copy of the Identifier field of the Configure-Request which caused this Configure-Ack . ,301,1171,field
1000129,Code,3 for Configure-Nak . ,240,1171,field
1000130,Identifier,The Identifier field is a copy of the Identifier field of the Configure-Request which caused this Configure-Nak . ,301,1171,field
1000131,Code,4 for Configure-Reject . ,240,1171,field
1000132,Identifier,The Identifier field is a copy of the Identifier field of the Configure-Request which caused this Configure-Reject . ,301,1171,field
1000133,Code,5 for Terminate-Request; ,240,1171,field
1000134,Identifier,The Identifier field is one octet and aids in matching requests and replies . ,301,1171,field
1000135,Code,7 for Code-Reject . ,240,1171,field
1000136,Identifier,The Identifier field is one octet and is for use by the transmitter . ,301,1171,field
1000137,Code,8 for Protocol-Reject . ,240,1171,field
1000138,Identifier,The Identifier field is one octet and is for use by the transmitter . ,301,1171,field
1000139,Rejected-Protocol,The Rejected-Protocol field is two octets and contains the Protocol of the Data Link Layer frame which is being rejected . ,400,1171,field
1000140,Code,9 for Echo-Request; ,240,1171,field
1000141,Identifier,The Identifier field is one octet and aids in matching Echo - Requests and Echo-Replies . ,301,1171,field
1000142,Magic-Number,The Magic-Number field is four octets and aids in detecting loopbacked links . Unless modified by a Configuration Option   the Magic-Number MUST always be transmitted as zero and MUST always be ignored on reception . Further use of the Magic-Number is beyond the scope of this discussion . ,500,1171,field
1000143,Code,11 for Discard-Request . ,240,1171,field
1000144,Identifier,The Identifier field is one octet and is for use by the Discard - Request transmitter . ,301,1171,field
1000145,Magic-Number,The Magic-Number field is four octets and aids in detecting loopbacked links . Unless modified by a configuration option   the Magic-Number MUST always be transmitted as zero and MUST always be ignored on reception . Further use of the Magic-Number is beyond ,500,1171,field
1000146,Type,The Type field is one octet and indicates the type of Configuration Option . The most up-to-date values of the Type field are specified in the most recent " Assigned Numbers " RFC [ 12 ]. ,231,1171,field
1000147,Length,The Length field is one octet and indicates the length of this Configuration Option including the Type   Length and Data fields . If a negotiable Configuration Option is received in a Configure - Request but with an invalid Length   a Configure-Nak should be transmitted which includes the desired Configuration Option with an appropriate Length and Data . ,100,1171,field
1000148,Maximum-Receive-Unit,Description ,400,1172,field
1000149,Type,1,240,1172,field
1000150,Length,4,240,1172,field
1000151,Maximum-Receive-Unit,The Maximum-Receive-Unit field is two octets and indicates the new maximum receive unit . The Maximum-Receive-Unit covers only the Data Link Layer Information field but not the header   trailer or any transparency bits or bytes . ,231,1172,field
1000152,Async-Control-Character-Map,Description ,400,1172,field
1000153,Type,2,240,1172,field
1000154,Length,6,240,1172,field
1000155,Async-Control-Character-Map,The Async-Control-Character-Map field is four octets and indicates the new async control character map . The map is encoded in big - endian fashion where each numbered bit corresponds to the ASCII control character of the same value . If the bit is cleared to zero   then that ASCII control character need not be mapped . If the bit is set to one   then that ASCII control character must remain mapped . E.g .  if bit 19 is set to zero   then the ASCII control character 19 ( DC3   Control-S ) may be sent in the clear . ,210,1172,field
1000156,Authentication-Type,Description ,301,1172,field
1000157,Type,3,240,1172,field
1000158,Length,>= 4 ,240,1172,field
1000159,Authentication-Type,The Authentication-Type field is two octets and indicates the type of authentication protocol desired . Values for the Authentication-Type are always the same as the PPP Data Link Layer Protocol field values for that same authentication protocol . The most up-to-date values of the Authentication-Type field are specified in " Assigned Numbers " [ 2 ]. Initial values are assigned as follows : ,231,1172,field
1000160,Magic-Number,Description ,400,1172,field
1000161,Type,5,240,1172,field
1000162,Length,6,240,1172,field
1000163,Magic-Number,The Magic-Number field is four octets and indicates a number which is very likely to be unique to one end of the link . A Magic - Number of zero is illegal and must not be sent . ,200,1172,field
1000164,Type,6,240,1172,field
1000165,Length,6,240,1172,field
1000166,Reporting-Period,The Reporting-Period field is four octets and indicates the maximum time in micro-seconds that the remote end should wait between transmission of LCP Link-Quality-Report packets . A value of zero is illegal and should always be nak'd or rejected . An LCP implementation is always free to transmit LCP Link-Quality-Report packets at a faster rate than that which was requested by   and acknowledged to   the remote end . ,120,1172,field
1000167,Type,7,240,1172,field
1000168,Length,2,240,1172,field
1000169,Type,8,240,1172,field
1000170,Length,2,240,1172,field
1000171,Out-Tx-Packets-Ctr,Out-Tx-Packets-Ctr is a 32-bit counter maintained by the Tx process which increases by one for each transmitted Data Link Layer packet . ,400,1172,field
1000172,Out-Tx-Octets-Ctr,Out-Tx-Octets-Ctr is a 32-bit counter maintained by the Tx process which increases by one for each octet in a transmitted Data Link Layer packet . All octets which are included in the FCS calculation MUST be counted   as should the FCS octets themselves . All other octets MUST NOT be counted . ,231,1172,field
1000173,In-Rx-Packets-Ctr,In-Rx-Packets-Ctr is a 32-bit counter maintained by the Rx process which increases by one for each successfully received Data Link Layer packet . Packets with incorrect FCS fields or other problems ,400,1172,field
1000174,In-Rx-Octets-Ctr,In-Rx-Octets-Ctr is a 32-bit counter maintained by the Rx process which increases by one for each octet in a successfully received Data Link Layer packet . All octets which are included in an FCS calculation MUST be counted   as should the FCS octets themselves . All other octets MUST NOT be counted . ,301,1172,field
1000175,In-Tx-LQRs,In-Tx-LQRs is an 8-bit state variable which indicates the number of Link-Quality-Report packets which the peer had to transmit in order for the local end to receive exactly one LQR . In-Tx-LQRs defines the length of the " period " over which In-Tx-Packets   In - Tx-Octets   In-Rx-Packets   and In-Rx-Octets were measured . In-Tx - LQRs is calculated by subtracting Last-In-Id from the received Identifier . If more than 255 LQRs in a row are lost   In-Tx-LQRs will be ambiguous since the Identifier field and all state variables based on it are only 8 bits . It is assumed that the Link Quality Monitoring policy will be robust enough to handle this case ( it should probably close down the link long before this happens ). ,240,1172,field
1000176,Last-In-Id,Last-In-Id is an 8-bit state variable which stores the value of the last received Identifier . Last-In-Id should be updated after In-Tx-LQRs has been calculated . ,303,1172,field
1000177,In-Tx-Packets,In-Tx-Packets is a 32-bit state variable which indicates the number of packets which were transmitted on the inbound link during the last period . In-Tx-Packets is calculated by subtracting Last-Out-Tx-Packets-Ctr from the received Out-Tx - Packets-Ctr . ,201,1172,field
1000178,In-Tx-Octets,In-Tx-Octets is a 32-bit state variable which indicates the number of octets which were transmitted on the inbound link during the last period . In-Tx-Octets is calculated by subtracting Last-Out - Tx-Octets-Ctr from the received Out-Tx-Octets-Ctr . ,301,1172,field
1000179,In-Rx-Packets,In-Rx-Packets is a 32-bit state variable which indicates the number of packets which were received on the inbound link during the last period . In-Rx-Packets is calculated by subtracting Last-In-Rx-Packets-Ctr from the received In-Rx-Packets-Ctr . ,201,1172,field
1000180,In-Rx-Octets,In-Rx-Octets is a 32-bit state variable which indicates the number of octets which were received on the inbound link during the last period . In-Rx-Octets is calculated by subtracting Last-In-Rx - Octets-Ctr from the received In-Rx-Octets-Ctr . ,231,1172,field
1000181,Code,12 for Link-Quality-Report . ,240,1172,field
1000182,Identifier,The Identifier field is one octet and indicates the sequence number for this Link-Quality-Report . The Identifier field is copied from the Out-Identifier-Ctr counter on transmission . On reception   the Identifier field is used to calculate In-Tx-LQRs and is then stored in Last-In-Id . ,301,1172,field
1000183,Length,The Length field is two octets and indicates the length of the LQM packet including the Code   Identifier   Length and all defined fields . Octets outside the range of the length field should be treated as Data Link Layer padding and should be ignored on reception . In order for the correct In-Tx-Octets and In-Rx-Octets values to be calculated   Link-Quality-Reports MUST be consistently transmitted with the same amount of padding . ,100,1172,field
1000184,Magic-Number,The Magic-Number field is four octets and aids in detecting looped-back links . Unless modified by a Configuration Option   the Magic-Number MUST always be transmitted as zero and MUST always be ignored on reception . If Magic-Numbers have been negotiated   incoming LQM packets should be checked to make sure that the local end is not seeing its own Magic-Number and thus a looped-back link . ,500,1172,field
1000185,In-Tx-LQRs,The In-Tx-LQRs field is one octet and indicates the number of periods covered by the Measurements section of this Link-Quality - Report . The In-Tx-LQRs field is copied from the In-Tx-LQRs state variable on transmission . ,100,1172,field
1000186,Last-In-Id,The Prev-In-Id field is one octet and indicates the age of the Measurements section of this Link-Quality-Report . The Last-In-Id field is copied from the Last-In-Id field on transmission . On reception   the Last-In-Id field may be compared with the Out - Identifier-Ctr to determine how many   if any   outbound Link - Quality-Reports have been lost . ,231,1172,field
1000187,V,The V field is 1 bit and indicates whether or not the Measurements section of this Link-Quality-Report is valid . The V field is copied from the Measurements-Valid state variable on transmission . If the V field is not set to 1   then the In-Tx-LQRs   Last-In-Id   In-Tx-Packets   In-Tx-Octets   In-Rx-Packets and In-Rx-Octets fields should be ignored . ,210,1172,field
1000188,Reserved,The Reserved field is 15 bits and is intended to pad the remaining ,231,1172,field
1000189,In-Tx-Packets,The In-Tx-Packets field is four octets and indicates the number of packets transmitted on the inbound link of the Link-Quality-Report transmitter during the last measured period . The In-Tx-Packets field is copied from the In-Tx-Packets state variable on transmission . ,231,1172,field
1000190,In-Tx-Octets,The In-Tx-Octets field is four octets and indicates the number of octets transmitted on the inbound link of the Link-Quality-Report transmitter during the last measured period . The In-Tx-Octets field is copied from the In-Tx-Octets state variable on transmission . ,231,1172,field
1000191,In-Rx-Packets,The In-Rx-Packets field is four octets and indicates the number of packets received on the inbound link of the Link-Quality-Report transmitter during the last measured period . The In-Rx-Packets field is copied from the In-Rx-Packets state variable on transmission . ,231,1172,field
1000192,In-Rx-Octets,The In-Rx-Octets field is four octets and indicates the number of octets received on the inbound link of the Link-Quality-Report transmitter during the last measured period . The In-Rx-Octets field is copied from the In-Rx-Octets state variable on transmission . ,231,1172,field
1000193,In-Rx-Packets,The In-Rx-Packets field is four octets and is used to calculate the number of packets received on the inbound link of the Link - Quality-Report receiver during a period . The In-Rx-Packets field is copied from the In-Rx-Packets-Ctr counter on reception . The In-Rx-Packets is not shown because it is not actually transmitted over the link . Rather   it is logically appended ( in an implementation dependent manner ) to the packet by the implementation's Rx process . ,231,1172,field
1000194,In-Rx-Octets,The In-Rx-Octets field is four octets and is used to calculate the number of octets received on the inbound link of the Link - Quality-Report receiver during a period . The In-Rx-Octets field is copied from the In-Rx-Octets-Ctr counter on reception . The In-Rx-Octets is not shown because it is not actually transmitted over the link . Rather   it is logically appended ( in an implementation dependent manner ) to the packet by the implementation's Rx process . ,301,1172,field
1000195,Code,The Code field is one octet and identifies the type of PAP packet . PAP Codes are assigned as follows : ,231,1172,field
1000196,Identifier,The Identifier field is one octet and aids in matching requests and replies . ,301,1172,field
1000197,Length,The Length field is two octets and indicates the length of the PAP packet including the Code   Identifier   Length and Data fields . Octets outside the range of the Length field should be treated as Data Link Layer padding and should be ignored on reception . ,100,1172,field
1000198,Code,1 for Authenticate . ,240,1172,field
1000199,Identifier,The Identifier field is one octet and aids in matching requests and replies . The Identifier field should be changed each time a Authenticate is transmitted which is different from the preceding request . ,301,1172,field
1000200,Passwd-Length,The Passwd-Length field is one octet and indicates the length of the Password field ,100,1172,field
1000201,Code,2 for Authenticate-Ack . ,240,1172,field
